Fx, Fy, Fz, F.Mag
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0.02153196,-0.0325605,0.2081488,0.2117775,
0.02153196,-0.0325605,0.2081488,0.2117775,
0.02153196,-0.0325605,0.2081488,0.2117775,
0.02153196,-0.0325605,0.2081488,0.2117775,
0.02153196,-0.0325605,0.2081488,0.2117775,
0.02153196,-0.0325605,0.2081488,0.2117775,
0.02153196,-0.0325605,0.2081488,0.2117775,
0.02153196,-0.0325605,0.2081488,0.2117775,
0.02153196,-0.0325605,0.2081488,0.2117775,
0.03480339,-0.02973194,0.2449005,0.2491415,
0.03480339,-0.02973194,0.2449005,0.2491415,
0.03480339,-0.02973194,0.2449005,0.2491415,
0.03480339,-0.02973194,0.2449005,0.2491415,
0.03480339,-0.02973194,0.2449005,0.2491415,
0.03480339,-0.02973194,0.2449005,0.2491415,
0.03480339,-0.02973194,0.2449005,0.2491415,
0.03480339,-0.02973194,0.2449005,0.2491415,
0.03480339,-0.02973194,0.2449005,0.2491415,
0.03480339,-0.02973194,0.2449005,0.2491415,
0.03480339,-0.02973194,0.2449005,0.2491415,
0.04410782,-0.020415,0.2415404,0.2463819,
0.04410782,-0.020415,0.2415404,0.2463819,
0.04410782,-0.020415,0.2415404,0.2463819,
0.04410782,-0.020415,0.2415404,0.2463819,
0.04410782,-0.020415,0.2415404,0.2463819,
0.04410782,-0.020415,0.2415404,0.2463819,
0.04410782,-0.020415,0.2415404,0.2463819,
0.04410782,-0.020415,0.2415404,0.2463819,
0.04410782,-0.020415,0.2415404,0.2463819,
0.04410782,-0.020415,0.2415404,0.2463819,
0.04410782,-0.020415,0.2415404,0.2463819,
0.03639219,-0.01123164,0.230729,0.2338512,
0.03639219,-0.01123164,0.230729,0.2338512,
0.03639219,-0.01123164,0.230729,0.2338512,
0.03639219,-0.01123164,0.230729,0.2338512,
0.03639219,-0.01123164,0.230729,0.2338512,
0.03639219,-0.01123164,0.230729,0.2338512,
0.03639219,-0.01123164,0.230729,0.2338512,
0.03639219,-0.01123164,0.230729,0.2338512,
0.03639219,-0.01123164,0.230729,0.2338512,
0.03639219,-0.01123164,0.230729,0.2338512,
0.03639219,-0.01123164,0.230729,0.2338512,
0.01515734,-0.003587096,0.223985,0.2245259,
0.01515734,-0.003587096,0.223985,0.2245259,
